"phylum","species","accession","habitat","Adintoviridae","Baculoviridae","Circoviridae","Flaviviridae","Herpesviridae","Iridoviridae","Marnaviridae","Marseilleviridae","Mimiviridae","Myoviridae","Nairoviridae","Partitiviridae","Parvoviridae","Phycodnaviridae","Pithoviridae","Polydnaviridae","Poxviridae","Retroviridae","Siphoviridae","Unclassified.viruses","Dicistroviridae","Hytrosaviridae","Metaviridae","Picornaviridae","Reoviridae","Hepadnaviridae","Microviridae","Alloherpesviridae","Amalgaviridae","Ascoviridae","Autographiviridae","Mitoviridae","Narnaviridae","Totiviridae","Podoviridae","Chuviridae","Iflaviridae","Rhabdoviridae","Secoviridae","Solinviviridae","Caliciviridae","Caulimoviridae","Mesoniviridae","Nimaviridae","Virgaviridae","Asfarviridae","Adomaviridae","Lispiviridae","Nudiviridae","Adenoviridae","Hypoviridae","Inoviridae","Ackermannviridae","Alphaflexiviridae","Bromoviridae","Chrysoviridae","Closteroviridae","Gammaflexiviridae","Medioniviridae","Peribunyaviridae","Potyviridae","Pseudoviridae","Cruliviridae","Tospoviridae","Corticoviridae","Herelleviridae","Malacoherpesviridae"
"ARTHROPODA","Geogarypus_maculatus","SRR9331988","Terrestrial",38.350856,86.54319,0,0,15.527513,6154.62223,0,1.96074,12.141183,27.98101,5.60232,39.52118,40.112485,3.09186,0,51.33664,16.484097,2.58391,47.743465,137.741027,30.138363,0,4.571738,0,0,0,0,0,0,0,0,0,0,0,0,46.486142,0,24.829,0,2.11502,0,0,4.06646,0,4.751449,0,0,0,0,0,13.96599,0,9.06772,1.66309,0.862127,2.84654,2.02795,18.377387,2.67115,1.87822,2.84885,4.73873,0,0,0,0,0
"ARTHROPODA","Hadrurus_arizonensis","SRR1721733","Terrestrial",135.09108,0,0,0,0,91.9652,0,0,16.9609,0,42.9302,0,0,0,0,0,49.19825,0,0,26.1839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1705.64063,0,0,144.7271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Lechytia_hoffi","SRR9332011","Terrestrial",143.0016302,5.18639,0,0,0,10.308671,0,0,126.451807,17.386653,19.627174,0,10.70576,1.00226,0,49.992543,74.9298134,4.558205,5.2621,310.257990601973,0,4.64907,0,0,0,0,4.67234,1.87969,0,0,0,0,0,0,0,17.091374,121.844567,0,0,0,0.126321,1.75441,25.88602,1.89889,41.217785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Leptoctenus_byrrhus","SRR10413987","Terrestrial",12.766117,5.61021,0,0,0,5.26428,0,0,1.65874,55.501391,0,2.27599,0,0,0,1.51105,8.857314,18.2557,0,232.490532,8.31809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83572,0,0,0,0,0,0,0,17.56187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Parasteatoda_tepidariorum","DRR047012","Terrestrial",606.34504,5.30226,0,3.13679,0,0,0,0,0,0,0,0,9.92321,49.326,0,0,32.74224,248.1941,11.59376,269.711994,10.87088,0,0,71.99112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52205,0,2.5007,1.56229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Stegodyphus_dumicola","SRR8416360","Terrestrial",12.131273,0,0,0,0,19.80326,0,0,0,3.55538,0,0,0,0,0,5.0316747,0,2.42812,22.144945,237.942691,3.52899,0,1.16733,6.49394,3.046722,0,0,0,0,0,0,0,0,0,4.09121,0,2.72789,0,0,0,85.97323,0,0,0,1.02353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.312172,0,0.911609,89.92031,0,0,0
"ARTHROPODA","Trichonephila_clavipes","SRR5139318","Terrestrial",36.282721,0,0,0,3.778038,6.225222,0,0,3.019346,132.135374,3.01892,0,10.907929,0.381216,0,0,7.761597,2.20185,9.461802,208.898133,0,0,0,0,142.95336,0,0,0,0,3.220034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.94443,72.3557,0,0,0,0,0,2.965236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARTHROPODA","Trogloraptor_marchingtoni","SRR8481668","Terrestrial",42.829557,0,0,0,2.88633,1.94318,0,0,19.910419,0.832293,0,0,9.64607,113.439,0,0,7.468425,0,0,1645.897099,144.61312,0,0,1.22053,0,0,6.74112,1.70489,0,0,0,0,0,0,0,1.13307,11.752534,60.0830915,2.04965,0,0,0,0,0,0,13.01934,0,14.537402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_digitifera","SRR8706925","Marine",59.36811,20.92372,0,0,0,38.07589,0,48.54434,477.06789,47.50605,0,0,0,146.12105,34.02269,0,7.43489,0,80.79854,266.41133,0,0,0,0,0,0,74.2776,0,0,3.18451,0,0,0,0,36.1891,0,0,0,0,0,0,0,0,0,0,0,7.21045,0,0,0,0,0,2.05239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_digitifera","SRR8706926","Marine",88.860689,21.64569,0,0,0,24.3523,0,76.11485,553.033544,32.26032,0,0,0,160.17045,36.95322,0,4.63473,59.80349,78.0257,274.11294,0,0,0,0,0,0,119.511,1.95501,0,16.6443,0,0,0,0,23.34402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19009,8.85137,6.59125
"CNIDARIA","Acropora_digitifera","SRR8706927","Marine",128.751216,17.70324,0,0,0,36.66483,0,50.50716,510.91346,34.21988,0,0,0,141.84081,33.62638,0,10.95519,2.79206,53.49467,254.67072,0,0,0,0,0,0,124.6,0,0,14.47997,0,0,0,0,14.37121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0146,5.3702
"CNIDARIA","Acropora_digitifera","SRR8706955","Marine",74.00332,11.32084,0,0,0,29.24363,0,59.22602,448.76511,34.44236,0,0,0,130.15373,26.803484,0,3.86783,42.6057,38.8817,215.07095,0,0,0,0,0,0,332.893,0,0,6.14818,0,0,0,0,15.0187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_digitifera","SRR8706956","Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_eurystoma","SRR6831340","Marine",57.73541,2.88772,0,0,0,32.76768,0,43.773421,769.075937,42.313978,0,0,0,81.32302,23.02468,0,0,5.82593,43.01162,206.02005,0,0,0,0,0,0,90.8675,0,0,8.27528,0,0,0,0,15.03356,0,0,0,0,0,3.16414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
