"phylum","species","accession","nreads","habitat","Adenoviridae","Adintoviridae","Alloherpesviridae","Amalgaviridae","Arenaviridae","Ascoviridae","Asfarviridae","Astroviridae","Baculoviridae","Betaflexiviridae","Bromoviridae","Caliciviridae","Caulimoviridae","Chuviridae","Circoviridae","Coronaviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Endornaviridae","Flaviviridae","Gammaflexiviridae","Geminiviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Hytrosaviridae","Iflaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Leviviridae","Lispiviridae","Luteoviridae","Malacoherpesviridae","Marnaviridae","Marseilleviridae","Mesoniviridae","Metaviridae","Mimiviridae","Mitoviridae","Mymonaviridae","Nairoviridae","Narnaviridae","Nimaviridae","Nodaviridae","Nudiviridae","Orthomyxoviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Phasmaviridae","Phenuiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polycipiviridae","Polydnaviridae","Polyomaviridae","Potyviridae","Poxviridae","Reoviridae","Retroviridae","Rhabdoviridae","Schitoviridae","Secoviridae","Solemoviridae","Solinviviridae","Tobaniviridae","Tombusviridae","Totiviridae","Unclassified","Virgaviridae","Xinmoviridae"
"CNIDARIA","Exaiptasia_diaphana","SRR1648355",0,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR1648356",1424700,"Marine",0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,9,0,0,0,0,5,0,0,0,0,0,0,4,0,0,196,139,0,6,0,0,0,8,0,0,0,5,0,0,0,39,14,12,0,0,460,0,1,33,161,60,2,0,0,0,0,0,0,0,70,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR1648357",0,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR1648358",0,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202193",6427169,"Marine",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202194",7420184,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202195",6657317,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202196",8303196,"Marine",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202197",5985897,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,5,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202198",6782319,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
