"phylum","species","accession","habitat","Marnaviridae","Adintoviridae","Retroviridae","Partitiviridae","Unclassified.viruses","Dicistroviridae","Myoviridae","Mimiviridae","Picornaviridae","Poxviridae","Narnaviridae","Totiviridae","Mitoviridae","Parvoviridae","Lispiviridae","Chuviridae","Rhabdoviridae","Amalgaviridae","Solinviviridae","Iridoviridae","Mesoniviridae","Iflaviridae","Virgaviridae","Flaviviridae","Pithoviridae","Marseilleviridae","Siphoviridae","Phycodnaviridae","Podoviridae","Phenuiviridae","Polydnaviridae","Tombusviridae","Metaviridae","Orthomyxoviridae","Xinmoviridae","Phasmaviridae","Betaflexiviridae","Autographiviridae","Chrysoviridae","Microviridae","Hypoviridae","Fusariviridae","Baculoviridae","Alloherpesviridae","Gammaflexiviridae","Alphaflexiviridae","Peribunyaviridae","Nairoviridae","Potyviridae","Reoviridae","Ascoviridae","Bidnaviridae","Klosneuvirinae","Circoviridae","Asfarviridae","Drexlerviridae","Megaviridae","Chaseviridae"
"CNIDARIA","Acropora_selago","SRR11924550","Marine",0,1.43174,0,0,415697,0,0,179.75943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23175,2.77405,0,2.23113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Acropora_tenuis","SRR11924535","Marine",0,5.47495,0,0,382821,0,0,115497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Amplexidiscus_fenestrafer","SRR5123106","Marine",0,1839.66,0,0,871095,0,0,57.2429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Amplexidiscus_fenestrafer","SRR5123111","Marine",0,1701.23,0,0,805140,0,0,24.84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Amplexidiscus_fenestrafer","SRR5123113","Marine",0,2372.75,0,0,827031,0,0,122.9162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Amplexidiscus_fenestrafer","SRR5123115","Marine",0,1994.25,0,0,839432,0,0,10.4864,0,0,0,0,0,2.30747,0,0,0,0,0,1.92131,0,0,0,0,0,8.4944,0,9.85959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Amplexidiscus_fenestrafer","SRR5123116","Marine",0,1277,0,0,878409,0,0,61.12294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98883,1.75892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Astroides_calycularis","SRR12135941","Marine",0,186374,0,0,447313,0,0,0,0,0,0,0,0,2.63762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Aurelia_aurita","SRR8090261","Marine",0,2.91541,0,0,502064,0,0,0,0,0,0,0,40.44127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202218","Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
