"length","fdr"
260,0.164402108480541
385,0.115528345214222
341,0.501826556374943
505,0.142625268710965
701,0.195348597711592
407,0.103096019481953
1205,0.0657532941820082
274,0.159422674400802
770,0.541141854857362
3184,0.100479798170176
525,0.440520234104294
480,0.485827236426003
514,0.146941924048931
383,0.353296717487502
2037,0.236128132759125
291,0.582134375028643
2433,0.284367222631648
1642,0.307420905463573
731,0.268515089006369
231,0.07725380767021
238,0.407748688750274
1374,0.189158494842986
464,0.174978020619581
398,0.311924871920476
201,0.0482394776769712
2463,0.106784111217151
2050,0.192026624393314
681,0.159496489959444
526,0.193948058174086
264,0.177878399094437
1494,0.215030790188265
407,0.343657357966574
210,0.0880688055577123
394,0.0901686287057944
711,0.18578057927028
271,0.0416741141589973
2120,0.11671014019939
1746,0.0503629841732926
1111,0.40020580754976
1624,0.238913024114018
396,0.604762597933332
595,0.220352235330291
2167,0.235811587777467
629,0.20935374245579
443,0.18433060044884
236,0.332411711331569
255,0.25496979165661
391,0.12542254769821
419,0.1532421873822
650,0.0512200808162024
283,0.0767131938723086
1550,0.183252890819253
582,0.121155299078619
457,0.491941388064486
311,0.139389654986254
635,0.164699026528623
662,0.343331442537676
213,0.0673332798504554
229,0.16262295757234
2757,0.0425125394102476
2096,0.150645828448438
207,0.514284029667166
974,0.709280890790394
447,0.0975957793243422
363,0.365425619886401
634,0.159037704170255
380,0
401,0.241554861897716
322,0.368181992690585
251,0.431166662094207
304,0.0535944652572289
342,0.143280725521834
203,0.0845934281813504
289,0.135760491387563
272,0.196417812790827
2127,0.382152695263952
233,0.501277141357048
207,0.0990575283689417
1622,0.132454584899558
334,0.0438716257921403
273,0.477946374155176
267,0.22338592500806
415,0.444679432881313
2027,0.129696962353967
298,0.297633263590289
408,0.196560594274915
1831,0.17323193011178
441,0.081588530172997
578,0.0826183478832445
346,0.263427508193242
1307,0.115872032611766
969,0.37844776523429
1611,0.12603185405968
962,0.190005297666296
348,0.0928313295557241
2234,0.129952955524068
553,0.230819027580542
7903,0.146699124728716
956,0.143536171391762
243,0.366014426692679
1011,0.385888627267752
1200,0.0847650419519353
952,0.251549640571337
1113,0.0555339246164419
800,0.137412076722944
276,0.964692789129059
350,0.0757055337984942
376,0.0696696701251372
410,0.30061695510945
363,0.166853147687182
374,0.0763088070452053
303,0.229829261641944
885,0.269480156250518
501,0.126333354540393
373,0.146663461579462
465,0.0397229247426872
255,0.155617084032527
294,0.335864335681964
323,0.642954585107349
1105,0.0689688450553582
661,0.357106627607698
1003,0.69369142629288
642,0.371042543243033
668,0.282399300080251
735,0.169121167287458
526,0.183775577844431
226,0.105811377716044
3536,0.164911652287299
295,0.206624401072588
2341,0.201477599676811
995,0.0701041721984525
272,0.42044675604968
959,0.190857072098342
1039,0.205249490904736
2218,0.21965057748072
436,0.0882580587834996
294,0.640827402110238
341,0.0151134612523661
459,0.113071721346465
791,0.334202583879675
335,0.227953388749255
573,0.171491443309082
1323,0.0742632443207001
993,0.145349418602959
263,0.228370228071849
262,0.197299024852175
229,0.25159136938137
338,0.265380603886155
1469,0.117664973432096
541,0.160110682558147
706,0.316870663634827
416,0.155622578576264
2325,0.0591300778711242
2800,0.165665597421188
501,0.35905325895327
356,0.0811941149187508
663,0.301960776631684
229,0.0761671483716974
409,0.194371977685328
211,0.357378522518441
1088,0.0443495890793715
303,0.441118596192153
1813,0.197906244805683
205,0.514909274091821
385,0.135632253642743
235,0
281,0.36533617509877
1701,0.241942992177119
894,0.479447659114752
234,0.0902752460076401
435,0.124906888850438
471,0.747323394801113
493,0.208070234958239
1780,0.13760573230911
986,0.286964860007539
1798,0.365222498731751
847,0.217115730610698
343,0.115478414901164
803,0.292558163912999
1809,0.127063411357818
224,0.0338617667303672
233,0.140114740981819
2402,0.254841763608122
937,0.378032980871307
5528,0.088656667745935
377,0.0878906439991048
425,0.200701671273334
603,0.207674314188427
2456,0.0964590805294941
2124,0.256825182048293
705,0.126574619928906
596,0.179603770689099
1689,0.399898999886578
203,0.19980532558631
294,0.562453689702036
248,0.274722337695856
1032,0.234701747154847
319,0.0741845603138348
2309,0.146228209341973
211,0.231274239860805
240,0.571321620018176
240,0.0798866691364248
1631,0.103647258587946
253,0.276210486943443
280,0.0693670227935114
1604,0.246228159225909
221,0.0641299654470631
760,0.137837057061703
264,0.323868838847637
293,0.44365280986742
1717,0.240898702787855
257,0.285466048470987
365,0.117408352206341
1021,0.292451433829728
922,0.250426602633977
1643,0.10116226899542
260,0.596243727403309
977,0.222414789957601
5126,0.163489032629017
1592,0.0456086387962242
481,0.448295907469145
569,0.634718916887687
496,0.618093267420529
2291,0.151761332922197
363,0.117877437627601
434,0.0690633434461203
1153,0.0923422371496637
252,0.435051892843227
2111,0.0845194876118041
244,0.0988073938185986
586,0.190017655355453
868,0.245460836309957
318,0.325443056196101
497,0.293005981099405
503,0.110684087974512
352,0.292451955391886
606,0.234698990773936
373,0.120670005244848
557,0.179788159751875
608,0.222356207994447
363,0.498927966885533
377,0.159324139971744
306,0.338303384668666
1230,0.249161508415255
363,0.418174257456413
346,0.316172806236861
308,0.122780546123479
247,0.329831203654386
483,0.22827677172516
518,0.433682567830571
638,0.242399518849084
552,0.0709832271658735
279,0.344660935554256
509,0.354173080914947
2903,0.129952955524068
270,0.0462579236498383
1340,0.171987860589132
3567,0.0988811456556927
326,0.202131712067074
1374,0.179935508896912
1799,0.156837839746284
455,0.361340999980745
2141,0.158195878788404
759,0.320360106955177
301,0.705792760844321
216,0.0346517628288419
360,0.165686507910575
553,0.225199358887564
1711,0.128223972194896
1228,0.0856548065515096
1273,0.227112266262979
2483,0.144474460839767
906,0.181552503050461
693,0.385137571846364
314,0.87551488636452
1474,0.0420220838081687
1498,0.15478983945537
454,0.415420981915732
475,0.193583556481654
1957,0.0621390486292636
2085,0.301828365852456
347,0.242528290539996
1224,0.0664104162462396
1511,0.255062942175112
268,0.265846003707276
211,0.67179223933375
2315,0.064940706253283
1207,0.271294393952864
1172,0.20065292796379
445,0.128899805154708
607,0.292195848401364
216,0.125517870587906
314,0.104509231786408
263,0.984516229633836
330,0.473718217925811
599,0.265173749484767
1124,0.297537990604545
1945,0.175373497066865
543,0.530622224071088
1723,0.366173001123624
448,0.0667574860575012
314,0.319540319011376
286,0.32889905188405
942,0.148427717542563
824,0.0935570327629703
995,0.13976206085892
246,0.137486358425957
706,0.151418229095221
1486,0.100951354101867
4793,0.21659599174344
735,0.229579560766044
216,0.0795951674000065
599,0.0687876582795622
404,0.227508132529605
5437,0.105988246473221
442,0.455808277181299
302,0.157316912113748
1104,0.0872967854772295
435,0.155724743898605
844,0.0917641782204794
245,0.0338617667303672
293,0.379447097470931
444,0.0416741141589973
285,0.330332354426296
348,0.534786490792947
207,0.00493930304040292
721,0.0830092892575014
269,0
2363,0.216934285743014
337,0.13654201630956
1754,0.067964041738727
306,0.0468224891650537
264,0.615486631699479
324,0.209579474070917
927,0.104624866403728
682,0.121233201112704
390,0.368978520846454
448,0.223753890460323
1232,0.215799550340403
334,0.0646380293189603
253,0.111268292741217
480,0.368566291627019
1140,0.301772695683532
347,0.0908426769063326
247,0.372559976503336
209,0.0944800259936523
2811,0.126697708847734
1202,0.154479271643197
631,0.160110682558147
411,0.263670587454106
213,0.606994110375084
1578,0.19035209001328
1050,0.0845194876118041
249,0.590317855296536
315,0.607343838077967
1921,0.0916074592935547
979,0.285570756136734
1289,0.0341918243978509
342,0.0868008799302487
925,0.532498953041818
687,0.157280348525049
299,0.240766924004611
636,0.0975957793243422
386,0.115291195806021
206,0.11958044981099
406,0.0531552239400008
223,0.414082563433773
431,0.211179449828224
847,0.357539044663536
718,0.110355191223445
238,0.0650318694066689
1829,0.241319823316741
441,0.0185001000942116
4385,0.0757141829068604
239,0.23877332740241
355,0.450764868846122
596,0.0969805247708498
473,0.204750768802184
1351,0.112218012460348
4878,0.0853579299426297
1607,0.0906089101027694
891,0.404086303645828
898,0.151551103420882
261,0.520816184738043
289,0
220,0.180270176935185
1136,0.384796907106428
229,0.478209809931007
312,0.109784916247012
562,0.597810003620077
824,0.236481988691949
1151,0.405691007115309
1448,0.127081976851405
1547,0.210472653200887
273,0
264,0.19045984216556
337,0.57698806064533
214,0.0630906598716669
217,0.109274883438981
400,0.189311460993028
475,0.365052027513683
998,0.217115730610698
255,0.0927246476555372
406,0.161703373346524
1475,0.0756590306131823
2625,0.0607265034471907
590,0.118071618738991
702,0.105505216461313
529,0.173085147808796
257,0.217494932084159
366,0.254261260108976
214,0.117071093928849
3413,0.190420624151411
481,0.431537572127923
1824,0.463907314846167
230,0.755713848012868
2374,0.124220344622049
684,0.133193078894581
207,0.0689688450553582
1130,0.279616031973254
403,0.161944088484892
381,0.335169103603119
734,0.0755314009203154
2981,0.112872036001103
202,0.314076697922973
1988,0.138055439105365
592,0.14575311790194
2956,0.248588217734737
750,0.407159964932054
204,0.83481051677884
700,0.0927952661199499
458,0.201530206399961
986,0.209289065265108
404,0.747403282775221
262,0.170420160722965
445,0.186512651550338
217,0.270726685441984
2794,0.224805029838144
270,0.20643362500103
1574,0.253938036288147
973,0.184183240190777
302,0.0665520041415099
497,0.120942578259587
235,0.131378259366585
3643,0.0939047157245245
909,0.132418203305527
273,0.237600315687811
255,0.103647258587946
211,0.385778474679165
356,0.0426266612178457
3202,0.265814615705368
298,0.420172731740684
461,0.808472746342485
1826,0.280450543472286
3184,0.0341918243978509
382,0.500022579470822
270,0.969510361851643
4478,0.0701041721984525
895,0.149301861937377
229,0.123010224702605
447,0.418433290235704
1575,0.117912745339816
315,0.221788741639418
3183,0.0608795230666502
1274,0.372288218295908
276,0.144492234936046
1438,0.377574649839391
974,0.220212655687321
476,0.166352757654432
1143,0.133962038181495
292,0.137009936338268
303,0.113517017465324
2001,0.154193644520412
206,0.0665226667100513
455,0.0351652507786461
244,0.117877437627601
848,0.137923896959211
2320,0.0536783925482468
256,0.253682538345056
1327,0.108249108202356
249,0.050925649964877
523,0.21212907998968
521,0.114407081391513
293,0.0507312652179315
1696,0.0999172362870673
356,0.321873968625426
326,0.589862883282685
816,0.258120652244759
1204,0.208558601946112
1664,0.108614820859905
1646,0.284589277048624
372,0.463240324585564
623,0.0311850090127272
1622,0.067964041738727
