"phylum","species","accession","nreads","Adenoviridae","Adintoviridae","Alloherpesviridae","Alphaflexiviridae","Amalgaviridae","Arteriviridae","Ascoviridae","Asfarviridae","Astroviridae","Baculoviridae","Betaflexiviridae","Botourmiaviridae","Bromoviridae","Caliciviridae","Caulimoviridae","Chuviridae","Circoviridae","Coronaviridae","Cruciviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Flaviviridae","Geminiviridae","Genomoviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Iflaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Leviviridae","Luteoviridae","Marnaviridae","Marseilleviridae","Microviridae","Mimiviridae","Mitoviridae","Mymonaviridae","Uncertain family","Nairoviridae","Narnaviridae","Nimaviridae","Nudiviridae","Orthomyxoviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Phenuiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Polycipiviridae","Polydnaviridae","Polyomaviridae","Potyviridae","Poxviridae","Pseudoviridae","Reoviridae","Retroviridae","Rhabdoviridae","Secoviridae","Solemoviridae","Togaviridae","Tombusviridae","Totiviridae","Tymoviridae","Virgaviridae","Adomaviridae","Aliusviridae","Alphasatellitidae","Alphatetraviridae","Alvernaviridae","Amnoonviridae","Anelloviridae","Arenaviridae","Artoviridae","Aspiviridae","Bacilladnaviridae","Barnaviridae","Benyviridae","Bidnaviridae","Birnaviridae","Bornaviridae","Carmotetraviridae","Chrysoviridae","Closteroviridae","Cruliviridae","Endornaviridae","Filoviridae","Fimoviridae","Fusariviridae","Gammaflexiviridae","Hantaviridae","Hytrosaviridae","Kitaviridae","Kolmioviridae","Leishbuviridae","Lispiviridae","Malacoherpesviridae","Matonaviridae","Mayoviridae","Medioniviridae","Megabirnaviridae","Mesoniviridae","Metaviridae","Nanoviridae","Nodaviridae","Nyamiviridae","Ovaliviridae","Peribunyaviridae","Permutotetraviridae","Phasmaviridae","Picobirnaviridae","Pneumoviridae","Podoviridae","Polymycoviridae","Portogloboviridae","Qinviridae","Quadriviridae","Redondoviridae","Roniviridae","Sinhaliviridae","Smacoviridae","Solinviviridae","Tobaniviridae","Tospoviridae","Tristromaviridae","Xinmoviridae"
"PRIAPULIDA","Tubiluchus_corallicola","SRR2131688",6714,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,65,0,0,0,0,5,0,0,0,0,78,0,568,428,0,1398,13,0,0,5,0,0,0,8,0,0,126,0,6,0,0,0,0,166,0,1,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Adineta_vaga","SRR7962072",392318,0,0,578,0,0,0,6,0,0,1891,0,0,0,0,0,0,0,0,0,0,0,0,24606,0,0,0,6914,185,0,0,0,408,0,0,0,0,9149,0,105977,19277,0,88452,336,0,6,184,0,0,0,2793,0,0,30877,0,3373,0,3057,0,313,7465,0,0,27817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_angularis","SRR12686548",219415,378,0,0,0,0,0,263,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,10416,0,0,0,2542,314,0,0,0,416,0,0,0,0,899,0,32986,12659,0,76669,402,0,0,2,0,0,0,1981,0,0,5126,0,286,0,4530,0,0,6256,0,0,30566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_calyciflorus","SRR10426064",359027,1,0,1,0,0,0,441,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,23468,0,0,0,5865,763,0,0,0,220,0,0,0,0,5540,1,63414,48191,0,96008,557,0,0,146,0,0,0,4234,0,0,14054,0,69,0,7489,0,83,9889,0,8,26873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_fernandoi","SRR10426062",321078,153,0,0,0,0,0,411,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0,24775,0,0,0,4458,649,0,0,0,407,0,0,0,0,3404,0,80204,21319,0,66889,512,0,0,108,0,0,0,3466,0,0,17244,0,104,0,6765,0,35,13045,0,0,28261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_manjavacas","SRR5197741",10654,1,0,0,0,0,0,8,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1060,0,0,0,646,2,0,0,0,4,0,0,0,0,185,0,1080,168,0,4293,3,0,0,1,0,0,0,12,0,0,83,0,1,0,845,0,11,96,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_paranguensis","SRR13452041",447538,322,0,1,0,0,0,376,0,0,2299,0,0,0,0,0,0,0,0,0,0,0,0,24830,0,0,0,5745,439,0,0,0,467,0,0,0,0,4203,0,77357,15692,0,134076,470,0,1,86,0,0,0,5342,0,0,11379,0,776,0,12897,0,82,4973,0,0,64136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_plicatilis","SRR15184123",128160,206,0,5,0,1,0,168,0,0,379,0,0,2,0,1,0,0,0,0,0,0,0,7194,2,0,0,4965,281,0,0,0,139,0,0,0,0,1263,0,28349,7436,0,22311,38,0,0,11,0,0,2,787,0,0,2753,0,126,0,5024,0,62,835,0,1,21052,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Brachionus_rotundiformis","SRR11747658",113083,336,0,0,0,0,0,72,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,30904,0,0,0,2766,226,0,0,0,120,0,0,0,0,1452,0,25509,8397,0,16744,151,0,0,1,0,0,0,989,0,0,1864,0,24,0,955,0,104,1321,0,0,3880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Lepadella_patella","SRR1976570",2449,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,68,0,0,0,0,6,0,0,0,0,29,0,338,528,0,780,3,0,0,0,0,0,0,10,0,0,42,0,4,0,61,0,0,73,0,2,162,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Rotaria_magnacalcarata","SRR2429147",225345,1,0,34,0,0,0,0,0,0,2865,0,0,0,0,0,0,0,0,0,0,0,0,13473,0,0,0,3944,0,0,0,0,176,0,0,0,0,2427,0,45005,4038,0,83330,58,0,0,0,0,0,0,541,0,0,6342,0,660,0,24603,0,65,1915,0,0,9867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Rotaria_rotatoria","ERR454505",228778,0,0,90,0,0,0,4,0,0,1697,0,0,0,0,0,0,0,0,0,0,0,0,23225,0,0,0,5077,331,0,0,0,94,0,0,0,0,4170,0,30284,2407,0,97352,27,0,0,4,0,0,0,1334,0,0,8266,0,1412,0,8991,0,45,2849,0,0,9802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Rotaria_socialis","SRR2430028",252692,1,0,46,0,0,0,2,0,0,7194,0,0,0,0,0,0,0,0,0,0,0,0,13523,0,0,0,2748,45,0,0,0,121,0,0,0,0,3845,0,80649,2646,0,63989,59,0,0,1,0,0,0,443,0,0,8718,0,606,0,21053,0,143,2775,0,0,10216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Rotaria_sordida","SRR2430030",268094,0,0,69,0,0,0,75,0,0,757,0,0,0,0,0,0,0,0,0,0,0,0,13009,0,0,0,397,7,0,0,0,60,0,0,0,0,1062,0,26598,2612,0,117660,94,0,0,26,0,0,0,500,0,0,5519,0,220,0,9986,0,15,1508,0,0,66282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Rotaria_tardigrada","SRR2430032",501222,0,0,56,0,0,0,36,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,26647,0,0,0,758,11,0,0,0,87,0,0,0,0,1973,0,33299,4863,0,238814,63,0,12,49,0,0,0,576,0,0,9188,0,756,0,3664,0,14,2380,0,0,141201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROTIFERA","Seison_nebaliae","ERR5430763",273524,1,0,94,0,0,0,499,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,12097,0,0,0,665,69,0,0,0,228,0,0,0,0,3770,0,78920,19349,0,41632,88,0,3,253,0,0,0,6725,0,0,24392,0,411,0,12640,0,0,4667,0,1,20934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Echiniscoides_sigismundi","SRR7309271",278557,176,0,0,0,0,0,927,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,5571,0,0,0,485,151,0,0,0,246,0,0,0,0,4018,0,70350,8427,0,57204,98,0,0,1067,0,0,0,2571,0,0,21365,0,3731,0,10286,0,1,14945,0,0,31286,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Echiniscus_testudo","SRR8354803",8952,0,0,0,0,0,0,13,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,44,0,0,1,0,6,0,0,0,0,18,0,1943,1418,0,1577,5,0,0,68,0,0,0,48,0,0,340,0,23,0,94,0,0,103,0,0,2083,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Hypsibius_dujardini","SRR5218243",132966,4,0,0,0,0,0,6,0,0,582,0,0,0,0,0,0,0,0,0,0,0,0,1007,0,0,0,548,60,0,0,0,307,0,0,0,0,806,0,29169,8314,0,29408,263,0,0,316,0,0,0,990,0,0,5033,3,1595,0,5653,0,0,4838,0,6,12822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Hypsibius_exemplaris","SRR14868527",132864,1,0,0,0,0,0,4,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0,0,177,2,0,0,0,142,0,0,0,0,843,0,19201,9989,0,34772,435,0,0,176,0,0,0,783,0,0,3930,30,610,0,1306,0,0,2274,0,0,39951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Mesobiotus_philippinicus","SRR8294673",82196,10,0,1,0,0,0,57,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,5729,0,0,0,2056,8,0,0,0,165,0,0,0,0,438,0,18581,5003,0,21069,194,0,0,272,0,0,0,593,0,0,1815,1,35,0,3186,0,0,2218,0,0,10959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Paramacrobiotus_richtersi","SRR5367860",124307,16,0,6,0,0,0,61,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,4901,0,0,0,546,59,0,0,0,213,0,0,0,0,519,0,17098,10433,0,40016,454,0,4,262,0,26,0,1009,0,0,6693,0,418,0,5090,0,16,1757,0,0,16098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TARDIGRADA","Richtersius_coronifer","SRR7340056",167058,0,0,0,0,0,0,14,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,4231,0,0,0,582,77,0,0,0,361,0,0,0,0,1797,0,40196,7408,0,30843,758,0,8,303,0,1,0,1010,0,0,17031,0,2575,0,3807,0,1,3635,0,1,22564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
