"accession","Ackermannviridae","Adenoviridae","Adintoviridae","Adomaviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Chrysoviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Malacoherpesviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Partitiviridae","Phycodnaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Schitoviridae","Siphoviridae","Unclassified.viruses","Chuviridae","Coronaviridae","Fuselloviridae","Hepadnaviridae","Lipothrixviridae","Mitoviridae","Picornaviridae","Pseudoviridae","Secoviridae","Virgaviridae","Zobellviridae","Iflaviridae","Corticoviridae","Fiersviridae","Leviviridae","Ovaliviridae","Parvoviridae","Tobaniviridae","Closteroviridae","Marnaviridae","Nodaviridae","Dicistroviridae","Lispiviridae","Peribunyaviridae","Tombusviridae","Nyamiviridae","Astroviridae","Demerecviridae","Endornaviridae","Filoviridae","Pneumoviridae","Potyviridae","Totiviridae","Orthomyxoviridae","Circoviridae","Paramyxoviridae","Cystoviridae","Phenuiviridae","Tectiviridae","Mesoniviridae","Tymoviridae","Drexlerviridae","Hypoviridae","Bromoviridae","Caliciviridae","Rhabdoviridae","Atkinsviridae","Botourmiaviridae","Fusariviridae","Narnaviridae","Solemoviridae","Alphaflexiviridae","Cruciviridae","Mononiviridae","Picobirnaviridae","Solspiviridae","Yueviridae","Arenaviridae","Qinviridae","Bacilladnaviridae","Artoviridae","Togaviridae","Chaseviridae","Genomoviridae","Guttaviridae","Polycipiviridae","Bornaviridae","Mypoviridae","Bidnaviridae","Xinmoviridae","Mayoviridae","Polyomaviridae","Spiraviridae"
"SRR11928673",1462.0003,36.8902,741.728036400307,13.911569,1056.74996,399.045112,144.38982,46.5413,3046.50124037363,27.41843,56.25605,0,2080.30513,7.37077,697.39936,103.7846336,626.164078511,61.216862,1475.578515,1595.3557714735,83.7173,19.39353,2550.680526,443.653349,102.1298497,25082.3590798267,7635.40343042163,85.32389,9.9275,77.824183,331.160442,7457.28556826102,2608.84687115743,1430.765595,1072.72666800685,5744.5366354241,2147.349561,3488.11835716374,123.37253,0,13841.279086955,23452.855431437,0,0,0,14.351502,1.96617,4.32507,3.50702,2.02031,0,0,0,1.82765,0,7.07642,0,11.5149,0,0,0,0,0,6.48038,0,0,0,4.30303,0,0,0,0,0,13.53456,19.26616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR11928790",0,45.9474,464.191158,0,1089.92323,358.12817,112.713,0,1926.54919,0,12.75636,0,4198.87136,0,1425.518,13.61072,443.73766,20.7772,389.71708,2671.926183,24.6176744007,0,2897.091468,565.04442,3.38222,23506.927523515,2885.763331,124.92753,0,92.42328,8.77973,8740.3003352054,2752.1245349442,408.0366407,939.80350607562,2175.344712,656.471055,1637.417503,0,0,4741.039006851,17548.9663769811,42.6246,0,0,0,0,11.76863,5.90677,0,0,0,0,0,0,0,0,3.33987,0,0,0,1.87453,0,0,0,0,0,12.3986,0,0,0,0,0,5.99208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR11928785",0,0,421.8498042502,6.83015,699.043366,595.372765,193.42108,10.61801,3241.1107007,0,70.27411,0,502.3571,0,431.11,103.85189,1578.21618083674,189.50756,740.806919,1622.72968379405,249.80078,12.25672,3148.8056557306,447.433967,104.3598,23262.4963269961,4189.264227,36.0385,44.987825,105.11893,234.70018,5332.89325101032,2006.5746043,984.416181,1200.319789,3512.913268,1020.50474,2515.14940300624,0,0,9427.09339608962,22680.92414806,0,0,0,2.71886,0,8.62119,0,0,0,0,0,0,0,0,0,11.298,0,0,0,0,0,0,0,0,0,13.06371,0,0,0,0,0,0,4.82843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1980045",0,0,580.57822,13.1053,156.99513,122.45021,61.6054,98.76676,1076.91614,15.1529,58.34992,0,881.08553,0,211.941,121.01756,1256.45419,31.51895,1286.93734,2058.53913,80.75514,25.81406,3201.313276725,232.00141,139.841,27045.920333,8400.340922,135.11666,10.1508,129.21999,371.39748,5788.9144,2205.58541,1636.06788,1141.05271,3542.951916,12.3617,3591.329855,41.9518,0,16201.4406943467,20145.5288341232,0,0,0,0,12.9135,37.72912,0,0,0,0,0,0,0,27.9361,0,9.64032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8592701",0,0,495.05331,0,240.90878,80.3582,155.5942,0,1610.80325,0,33.9748,0,590.10255,37.8948,366.396,122.41433,887.44585,45.192,754.99714,1570.30963,204.95242,18.6783,2922.37772,115.88965,2770.80897,24092.91546,6935.39667999999,223.2772,6.94011,237.55415,172.418,6835.03309,1922.417,1370.69239,1049.80281,2687.43204,1965.27656,4230.71503,33.53045,0,10460.45535,16633.051964049,0,25.3828,0,0,0,0,0,0,0,0,0,0,0,7.43891,0,101.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.6781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8886798",726.821284,0,34.8973,88.766226,2487.252992,407.536132,491.955862,172.079943,788.557426195,23.5814,61.70224,13.76813,3119.822055,28.4284,183.50271,272.93974,1001.075135,73.54313,2128.4494014,3322.98524911134,324.769801,26.273652,4581.47307621,146.22875,573.118712489,40271.1756120779,13299.7253815522,98.353326,30.4334,318.786631,786.566792516,8770.35561707059,4002.187085,3923.13520114626,2337.36736104067,4494.016199,31.11378,9029.04237264842,128.1569,0,36045.442883629,33480.0610046567,2.33296,25.78183,10.02505,0,22.409383,2.81005,0,10.79978,0,0,0,4.97664,0,0,0,7.23052,0,0,0,6.76587,7.89782,0,0,0,0,0,4.21783,0,0,0,0,21.08492,10.92129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR10992330",1410.7665689048,0,0,29.70122,69.685809,68.7719,20.813,23.013562,237.867752,47.235433,36.592169,0,349.67168,15.382137,39.70529,614.634957,342.356173159,2.686842,2087.458144,879.059186,40.0898,8.24392,1032.074698,60.21422,534.384245,8653.01040333563,42232.6443255791,69.22361,5.08311,40.19152,143.49633938858,2034.98152002021,1133.96909366,4239.9862096422,1080.93873416221,1289.5892655,16.74829,2595.60935,3.26512,11.78898,114457.467360779,23317.3584203192,0,0,2.53817,0,48.402907,8.99728,0,2.82651,0,0,20.7635613,0,8.01456,0,0,12.41989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33781,0,9.0393,0,0,0,10.94269,0,0,2.3486,0,0,0,0,0,0,0,0,0,0,0,0,3.76595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2394941",85.49135,0,5.292697,6.547338,214.346518441,41.485341,71.436825,12.798621,383.4308809,9.985034,484.367787200185,0,266.832224,30.668445,247.49011,147.291936,614.145024,0,464.235698,868.8251506,30.393707,4.028574,1202.113253,1168.51224316,75.02047,11784.5421162619,4009.88070148681,85.14506,14.18045,104.799594,95.400131,2996.0007691,1376.96562234241,644.74424596,928.578667206538,2663.19084550654,246.698218,6497.42014172891,9.89713,2.20646,6714.27832956582,13241.4130137409,9.74744,8.9072,1.73801,0,10.71478,4.62485,0,12.98891,0,0,0,0,12.78891,0,0,1.99748,0,0,0,5.8638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1166532",0,267.685,48.7418,16.66,640.1293,180.24284,198.0257,69.168,1062.1456,0,14.7026,0,1628.5447,115.0949,852.126,181.2914,1240.695686,118.2989,1239.39334,4107.24777,246.05424,0,2646.95179,0,247.424,25549.796369604,9236.31375552081,153.07882,0,123.4582,255.1926,7171.18754,3060.73188,1855.66066,1957.80307,6203.71835,603.3324,9294.40518366,89.6387,0,16564.64459,24967.8048710423,0,14.0551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR4423080",836.4044593178,1.10382,10.4978,25.422406,286.229629,197.903613,149.68556,502.048751,1115.473264,81.0314300754665,16.0138,0,4074.254207,74.96904,230.701889,1024.093886,1631.3362559,55.78425,2825.2210300437,2957.417726,51.39513,13.163349,5176.6453978,198.771578,617.012294,44465.5408131399,22674.8836440639,160.83061,2.87071,264.084165,744.660116,8870.69753059233,5133.2473818183,4306.749026,3402.262832,4711.55368822803,0,15581.4958681606,159.2984,3.7664,35510.2808951152,39684.8581508708,26.19313,21.1666,12.5528,0,12.95997,0,0,15.318584,0,0.486874,0,0,12.088537,0,0,1.20816,0,0,0,0,0,0,0,0,0,0,0,1.40428,0,0,0,4.06185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
