"accession","Ackermannviridae","Adenoviridae","Adintoviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Malacoherpesviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Partitiviridae","Phycodnaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Schitoviridae","Siphoviridae","Unclassified.viruses","Adomaviridae","Chrysoviridae","Chuviridae","Lipothrixviridae","Mitoviridae","Pseudoviridae","Secoviridae","Virgaviridae","Ovaliviridae","Parvoviridae","Closteroviridae","Marnaviridae","Nodaviridae","Dicistroviridae","Peribunyaviridae","Tombusviridae","Corticoviridae","Nyamiviridae","Picornaviridae","Lispiviridae","Astroviridae","Demerecviridae","Endornaviridae","Filoviridae","Fuselloviridae","Iflaviridae","Pneumoviridae","Potyviridae","Totiviridae","Orthomyxoviridae","Paramyxoviridae","Fiersviridae","Hepadnaviridae","Cystoviridae","Phenuiviridae","Tectiviridae","Mesoniviridae","Tymoviridae","Circoviridae","Drexlerviridae","Hypoviridae","Bromoviridae","Coronaviridae","Caliciviridae","Rhabdoviridae","Atkinsviridae","Botourmiaviridae","Leviviridae","Narnaviridae","Solemoviridae","Alphaflexiviridae","Cruciviridae","Zobellviridae","Picobirnaviridae","Solspiviridae","Yueviridae","Arenaviridae","Tobaniviridae","Qinviridae","Bacilladnaviridae","Artoviridae","Togaviridae","Chaseviridae","Genomoviridae","Polycipiviridae","Bornaviridae","Bidnaviridae","Mypoviridae","Mayoviridae","Spiraviridae"
"SRR8641368",0,0,942.727909,347.33434,0.85634,0,0,2751.954745,0,0,501.947792,0,22.1463,0,14.880259,0,23.850518,156.728449,0,1.45431,12154.5947119,92.70656,29.635401,21203.5006536,8809.735044,0,1.05316,0,1.27657,7309.283528,796.046817,3254.341973,10628.83323,3483.404146,0.547537,6546.3506799133,0,0,1860.208829,15967.929464,0,0,0,0,0,11.734973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8454196",0,0,720.863148902357,212.227975,752.51991,93.3623,17.8771,2006.8968447,22.3864,23.155104,2577.638243,76.7907,518.487,244.74296,1516.9709687,208.82315,1676.04085,2760.132452,394.976181,0,5291.28106955,204.786763,158.59121,44468.6373044614,12106.0410851822,139.77451,0,202.330352,688.888290210492,10304.5411490249,3924.90982164246,3993.986098,2202.7893893,6234.2228174,13.40134,6351.08850458168,38.2674,0,22529.2500191618,31600.9283159128,59.92483,0,2.93315,0,515.06275,0,0,0,0,23.37669,16.38407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47478,0,0,0,0,0,0,0,19.22256,0,0,0
"SRR12179257",273.354723,0,16.902614,314.42659,114.425662,124.92296,142.58349,641.621733,99.346981,0,4039.335278,0,916.080771,186.921243,716.624341,54.314754,1492.984564,3298.4694707,140.001377,34.8332,4588.837405,31.742507,184.490215,24915.7131047417,10551.7407299036,224.053047,0,110.627704,383.192674,5176.193098,2758.017625,2800.315788,1032.071531,5362.726869851,0,3235.4229664426,23.4348,0,17145.4046084467,20501.90319706,13.2621,0,0,0,0,49.361695,0,0,0,0,0,0,0,0,0,0,0.472865,0,1.64525,0,0,0,0,1.5295,2.94772,0,0,1.561033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2681155",73.612624,0,5.156835,217.785759,307.645049,82.56151,32.562305,2696.869984,0,136.811673,529.30021706363,0,519.397,42.152434,954.39986582479,84.993426,1491.20951216933,2821.44937170765,51.87253,15.0341,3073.43252395464,606.626616122796,313.592526,27700.7999500382,8666.34213910888,101.224273,0,36.843046,422.569054,5805.52639325656,2304.60333788163,1074.21984737,3478.03627360674,4661.16615276118,1933.20510685,4079.9116297754,91.23148,0,11944.9770161787,19331.5607748189,6.3154,0,0,0,45.596756,11.6392,0,0,0,0,0,0,2.10733,0,0,0,0,0,0,0,0,0,0,0,0.563215,0,0,0.88416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469354,0,0
"SRR8491950",8.460633,0,25.08629,10.5273,60.19991,17.943,0,16732.8647226,0,0,51.60569,0,1355.51574,47.963,118.408184,0,1209.038091,701.123088,0,10.62396,808.031083,51.07154,914.361515,10106.405334487,5246.89596797626,8.61144,6.53146,25.713656,222.54288,3658.14007192668,298.5575,1162.256966,216.656476,3802.165144,1247.252059,2996.471942,3.51318,0,8345.185179,22621.2820031,0,0,0,0,14.2527,0,0,0,13.9324,0,0,0,0,0,0,0,2.43911,0,0,0,0,0,0,0,0,0,0,32.09448,0,0,0,3.35774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8617822",81.52932,6.53608,111.21798,101.54053,178.89558,33.09531,36.76922,2025.916439,19.71358,11.27152,5841.161374,0,173.309808,360.459,765.925799006887,138.084065,1409.1336519363,1368.435377,175.4532,2.30931,3165.69189037676,244.986709,286.771843,28372.7043491831,10866.7112935204,129.459905,0,242.89412,475.268612,4872.819858217,2656.84255861708,5045.93213422614,1335.374619,5958.05959724279,30.45514,4920.68762077781,17.62137,0,20122.3137902258,23109.5814718024,20.00132,0,4.43658,52.21629,0,13.609129,0,38.34266,0,0,0,0,0,0,0,0,0,0,13.33703,0,0,0,0,0,0,0,0,0,4.1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.95815,0,0,0,0,0,0,0,4.87691,0,0,0,0,0,8.48545,0,0,0,0,0,0,0,0,0,3.94967,0
"SRR6375633",16.771887,57.1345,0,263.02888,411.275266,42.135307,6.19848,2504.923993,0,25.543187,5394.79103,0,384.67558,233.690447,1079.418243,106.41907,3021.56321,3765.0050301,331.83204,1.6319,4869.897574,332.007219,185.37051,52595.01644033,12584.3185239276,242.84502,0,220.2883,674.09403,8425.1813126,4121.760224,4343.492781,2766.7224587421,6615.953024,23.5699,7829.58442600176,0,0,20548.5803751386,31260.4559280001,62.474110188938,0,0,0,4.78346,23.199742336,0,39.5515,0,0,0,0,0,0,2.135367,0,2.093902,0,0,0,0,0,0,0,0,0,0,1.0921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.70357,0,0,0,0,1.36213,0,0,0,0,0,0,0.534521,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8524599",588.170733,0.60887,6275.734437,67.278862,18.27939744834,20.36768,9.20306,1842.32655024111,0,0,5857.187423,0,1483.8614,103.967585,121.334209,14.185944,418.127431,1096.996004,115.263,0,1025.480172,2.48985,411.391529,30296.5962138,4875.2193265,411.362326,1.5662,202.647,119.224584,5637.482881,2711.050581,3715.499934,262.074379,14866.08231915,1.5289,5002.150499,2.62286,0,10521.6558356,28764.0334689322,0,0,0,1.16946,1.457176,45.0738,0,4.46132,0,0,0,0,0,0,0,0,6.06529,0,0,0,0,0,0,0,0,0,0,9.12092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64604
"SRR8506641",91.0475,0,128.37649,247.07182,946.07906,125.3643,88.36479,2863.2783,48.5421,0,5162.0131639,0,660.11078,330.27505,2082.63783,194.17825,1636.95837,4240.53213,79.22481,0,7200.343534296,0,409.68528,43001.2018458153,13212.216905,166.34139,0,341.77599,765.56856,7794.28418000919,6510.709124,3814.11393,1770.51124,8593.75842,99.53251,7183.086508,18.80731,0,24738.849135857,30035.0310484703,94.7303,0,0,0,6.77228,9.3295,0,72.0677,0,0,99.7561,0,0,0,0,0,0,0,6.41378,0,0,27.8407,0,0,25.422,0,0,58.1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8638116",0,0,8617.35599,0,0,0,0,0,0,1.531798,3.32609,0,0,1521.89339,2.92618,0,1354.2361028,1617.529132,1.6842,0,389.4174,950.643542,81.5856,4244.473596,51137.4688621,53.687042,0,0,0,115.482697,312.649781,1131.337269,190.310676,1.67348,0,1290.51071,0,0,47826.3747334,17828.098354,0,0,0,0,2.64597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
