"accession","Adenoviridae","Adomaviridae","Alloherpesviridae","Ascoviridae","Asfarviridae","Autographiviridae","Baculoviridae","Bicaudaviridae","Caulimoviridae","Coronaviridae","Flaviviridae","Geminiviridae","Hepeviridae","Herelleviridae","Herpesviridae","Hytrosaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Marseilleviridae","Metaviridae","Microviridae","Mimiviridae","Mitoviridae","Myoviridae","Nairoviridae","Nimaviridae","Nudiviridae","Ovaliviridae","Partitiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polydnaviridae","Poxviridae","Reoviridae","Retroviridae","Salasmaviridae","Secoviridae","Siphoviridae","Unclassified.viruses","Virgaviridae","Ackermannviridae","Adintoviridae","Drexlerviridae","Malacoherpesviridae","Marnaviridae","Nodaviridae","Chrysoviridae","Fuselloviridae","Lipothrixviridae","Chuviridae","Corticoviridae","Closteroviridae","Cystoviridae","Iflaviridae","Paramyxoviridae","Potyviridae","Pseudoviridae","Demerecviridae","Circoviridae","Dicistroviridae","Totiviridae","Filoviridae","Narnaviridae","Rhabdoviridae","Schitoviridae","Zobellviridae","Arenaviridae","Picobirnaviridae","Papillomaviridae","Nyamiviridae","Fiersviridae","Xinmoviridae","Hepadnaviridae","Parvoviridae","Tombusviridae","Betaflexiviridae","Lispiviridae","Alphaflexiviridae","Leviviridae","Togaviridae","Peribunyaviridae","Phenuiviridae","Artoviridae","Qinviridae","Cruciviridae","Astroviridae","Bacilladnaviridae","Solspiviridae","Steitzviridae","Myriaviridae","Mesoniviridae","Endornaviridae","Hantaviridae","Tectiviridae","Bromoviridae","Genomoviridae","Botourmiaviridae","Sphaerolipoviridae","Kitaviridae","Mayoviridae","Phasmaviridae","Orthomyxoviridae","Amalgaviridae"
"SRR3407164",0,57.63403,277.321098,350.870713,263.48565,0,9422.909664,34.4853,7.215912,0,866.562961,1.25662,2435.45324,124.279242,1619.86508501712,108.289741,1806.18997515131,3454.21243254381,125.18346,5195.839777,61.3637492913359,348.168285,57828.5896729651,14.84173,13931.0751646128,56.900468,2.27554,361.524838,0,541.444245,10180.2101531611,20.14903,6807.03141177755,4093.51045800892,1657.4006780408,6388.38643376027,136.180895,7519.73208702782,0,0,20104.9993012574,46847.7436063363,0,111.348,5.40022,0,0,0,0,13.31336,6.13019,5.24458,0,0,0,0,0,0,0,22.94372,0,0,0,0,0,0,0,18.975271,0,0,0,0,1.63411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9162936",0,65.4651193656,344.298585,194.200403,36.53454,5.221418,2478.2433,0,3.318582,0,1695.4315919,0,678.17,136.628371,1580.05343267,56.4998570000913,1338.77395512403,3982.89976755455,0,4857.44435402745,79.8630732,256.964189,44372.0338587667,51.344681,9610.93652403678,52.872559,0,365.3778523487,0,989.69925,6884.80514982991,2.316108,3675.55147738,3666.51198874668,1363.1951947049,7670.73740679307,202.6250953,8347.00844723895,633.4046,0,15700.4469806464,47097.1167145699,9.62919,190.924786,231.173,0,0,0,0,2.34102,23.86617,21.531719,0,1.69143,1.68392,0,0,0,3.48526,80.96797,0,0.48067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635636,0,3.715238,0,4.191464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR15713750",226.223,24.04586,104.60475,764.77068,78.69894,305.63318,3798.8393187,33.56418,7.74213,0,1308.8237356074,12.7628,73.8753,473.720827,4879.26035,22.45831,1798.63351360157,3792.14297818258,45.39424,2728.05272500047,358.328877,936.5634,22249.6576245121,7.61051,16198.3499980052,38.96064,23.886681,163.288209,7.7174,692.683646,5748.02759270072,3.3978,1983.848311,5084.159189,1961.7361362743,4045.534485,335.01453,2368.64078623531,58.6293300393899,0,44911.0582321582,26133.3962501364,0,750.4282634,2.83444,0,0,0,0,0,0,0,7.84204,18.29405,0,0,48.8181,0,0,0,0,0,0,8.165556,0,6.2573,50.920422,8.61876,0,0,0,0,0,0,0,0,0,3.08081,0,0,0,3.93457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8670231",0,0,496.447273,238.084444,2033.622432,20.78617,6190.5344477122,99.40639,0,0,3587.800957,0,41.672536,293.316928,1419.765628,35.362461,3009.399659,3943.417952,1125.333098,3682.55807000336,0,163.076144,36643.8403539568,3.869879,12197.1991353386,102.000179,0,1598.488678,0,555.56851,5849.83062086328,0,3001.286921,1621.2663989805,1193.457484,24916.876292211,503.733255,2379.604629,18.606915,0,25418.858307,31073.9751604512,0,0,0,0,1.07722,0,0,0,0,0,0,0,0,0,0,0,0.572869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8061632",25.41941,307.60168,82.990935,1813.141558,151.5799,20.536447,1637.29639837675,1.61134,5.42251,0,7514.037822,0,311.128413,733.625276,1870.55613020475,453.110711,4291.73019291128,3020.21792944188,876.880514009488,9843.66197059999,154.44606,287.788174,51545.9397588724,0,16752.6443075632,73.47436,0,598.682799,0,676.5424882,15497.5698981526,85.08045,8242.28745734889,3587.98385997102,3773.862301346,5397.7292371964,16.64594,4688.13930553229,22.118595,0,32520.0301717749,37061.5675630137,1.28165,17.572114,383.234433,0,27.054987,0,0,0,11.02125,11.1134,0,1.36042,0,0,0,0,0,0,0.933553,0,0,0,0,1.42317,5.11015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9670663",0,0,5.314316,994.591,0,688.553,38.30109,0,0,0,136.730337,0,1.54652,1.80763,1480.513021529,181.9772,1360.56449,1766.63355,806.96094,1021.389541,0,9235.2484,32323.4494789623,1.46728,10297.790076,0,0,0.853027,0,0,10524.989679,0,1033.215427,6275.87778,5257.421855,2887.381669,0,940.492084,0,0,19763.442985,28579.671217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1611554",5743.47502,0,143.83112,53.99349,12.81658,14.61448,1062.79425100235,37.3068,53.33334,0,2028.75052,35.3771,1760.65799,34.04206,269.067576768598,0,2797.47621,1872.3689,5.32581,1578.12675,100.62331,133.33587,11788.182057,21.59615,5896.811435,9.72587,0,44.15201,0,81.19432,3929.719566,0,1764.67051018336,1055.53144,762.840469,7080.201947,144.9365289,2348.36268200192,2.99702,0,8821.57592670001,13161.8505060006,0,108.99942,1488.63372901853,0,0,177.39279,0,0,0,0,6.363,0,0,0,0,0,0,0,6.5093,3.4253,0,0,3.68079,4.48557,0,5.4123,0,0,0,0,6.01038,23.62539,0,0,0,9.05049,0,0,0,36.08201,0,0,0,0,0,0,5.49042,34.63841154686,13.42826,7.21922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR9589082",10.721559,63.16203,256.40038,1.98579,2.45543,0,3061.90633,0,0,0,169.32629,0,788.27528,5.92108,590.77745,25110.24,809.5656,6079.36115,0,2216.825423,0,43.06475,20537.179799,0,12174.727673615,0,1.63511,361.84199,0,0,11572.885547,0,7861.794374,1884.513506,50.769165,9328.737662,1408.543611,3555.084678,0,0,14747.5396480353,37391.398414,0,0,15.8576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1611559",307.5027,0,17.79409,70.70495,13.8176,11.53514,1712.499054,6.16113,3.04427,0,4609.304035,0,2615.8499,129.15366,405.16934,8.40297,1455.23444013615,1818.975952,0,2443.42721,7.53774,183.05109,18792.0991304222,0,12341.8624886765,0,13.8075,51.99786,7.1505,93.72956,3823.377965,0,1799.50551000208,2629.46733,350.21889,5023.9196577,132.46157,3380.89534,6.44853,0,19591.86652207,18624.9405328915,0,7756.23126,249.28376,0,2.24144,27.74021,0,0,0,0,0,0,0,11.7185,0,0,41.7025,0,25.54873,4.96722,11.084,0,0,0,4.48092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1797883",88.30545,5.24282,227.121960037647,131.435091,16.34031,97.80159,1189.11358,10.29985,78.994696,0,1424.7020065,4.50766,292.93263,205.28233,553.04583,63.30644,681.14369171672,1556.721928,0,1053.3547897764,516.207804081132,135.56153,10809.9828685294,17.25609,5123.3882200824,51.809133,10.29862,106.575585,0,204.575276,3109.657464,8.40414,1154.06568561991,1055.12838156862,2579.436464,2546.99304666147,397.0807,2201.63046456736,49.85694,0,13590.9332849409,10836.6352033134,9.13292,670.17955,73.70483,3.77159,6.07705,0,0,12.04111,9.26234,12.03598,10.92875,0,18.59954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7544,0,0,0,0,0,0,0,0,0,58.51317,0,0,0,0,0,0,0,0,0,6.9274,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1976176",117.0297,12.1036,200.5277,91.80157,30.8758,25.3683,910.63305,0,75.7141,0,1162.73434,16.4326,137.35955,59.5479,370.88801,18.7347,1081.37833874,1138.80937,120.3224,1499.687379,74.1286,43.0726,15472.76551964,22.19526,5042.11668,84.0557,11.8593,144.95673,0,174.8528,40039.70548,11.0869,1020.0006,842.0444,1489.657595,1879.66056,0,3217.95716,195.1065,0,9348.68367203201,10169.19528,0,20.0051,211.82915,0,69.495,0,0,0,0,44.9777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1695460",19.7767,62.4231,413.6693,757.56199,166.32368,14.04311,1809.5860203,11.3351,12.7369,7.94837,1666.34871,0,613.77,243.5388899,1838.04203,51.03595,2381.11676,7790.258041,159.36741,2280.49592,32.45285,201.99149,26256.9985746219,13.35203,16728.6453821061,98.17368,41.30979,2388.6881,0,525.73005,6430.83658000188,138.6946,5312.054072373,21768.160988,921.72251,5698.93863670001,110.66891,11098.4149004,3551.26975,21.2981263,30337.3823987965,47507.2430902024,0,195.48769,8.10927,0,26.34048,0,0,0,0,17.1792,0,0,0,0,7.14287,0,0,0,0,0,8.9141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07737,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1695469",115.97561,0,21.122,122.3808,34.2357,63.4452,1485.79992,11.0236,18.06728,0,1889.4668853,16.1256,500.96179,163.733,453.29719,0,505.66986,1276.0155,313.24778,1560.31668,104.01064,162.67084,12667.4574300188,18.3798,4632.6071217316,20.12181,8.19364,67.42907,0,98.91545,3445.86164,0,1252.34836,10369.369359,1416.919062,2069.29145,17.1138,4051.498629,264.02983,27.6834,23844.9980715546,12607.5540912559,0,14.34463,762.330253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR1695461",99.65068,64.34771,453.5048,3725.77398,22.49546,115.25001,12771.864905,5.22369,158.61686,0,494.73986,28.8956,513.6883,316.402614,763.893810361231,144.50827,1335.66027,2449.4807,58.50817,2102.67524790401,371.09054,468.87031,17031.9451310734,12.1674,13430.751364215,36.61807,8.37944,97.93574,4.17121,467.925408,7045.15019002516,62.7132,2756.136544,3147.277607,1752.09106,6203.83955190143,705.44171,4846.87405865,2267.55929,4.39536,35288.7422383429,34561.6864015459,0,20.35939,9.70015,0,43.45444,4.96703,0,4.70373,2.18984,13.86135,0,0,0,0,0,0,0,79.18961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR8627696",0,0,13.12339,0.376321,0.52393,0,822.357776,0,1.080251,0,29.88974,0,0,2.224917,799.875904,0,241.530446,271.027509,0,250.995778,4203.972112,0,9745.52304222,0,947.258709,0,0,0,0,17.5035,12949.2594418,0,3533.7329271,5.375417,55.534407,675.654336,1214.92399,7261.906028,0,0,88295.183451,5078.76116989221,0,0,685.213052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR2131253",16.34374,2.75616,26.161070216312,71.08984,28.60314,12.05299,604.597235,3.07662,17.00696,0,354.07613,12.08232,67.41345,475.16886,153.38204,9.28308,6107.66484517777,397.291475,31.80004,515.5406055,30.23603,692.169656,5630.59986394935,0,27046.7609535046,19.16237,0,61.63453,0,35.38321,1190.700458,0,415.886355,5375.78176412472,334.001953418,720.195373,10.64328,492.96540489655,43.038501,0,55026.2900031829,17391.4683531184,40.436943,4573.151937,61.46596,0,0,0,0,0,0,0,0,8.88477,0,3.19143,0,0,0,14.29218,2.50936,0,0,33.82539,8.82998,0,7.12238,18.9822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04549,0,0,0,0,0,0,0,0,0,0,0
