acc,clumpify input reads,clumpify output reads,Trimmomatic input reads,Trimmomatic output reads
SRR8784138,killed,killed,killed,killed
ERR414137,74250262,64832420,32221711,31159892
ERR146943,killed,killed,killed,killed
SRR10446422,31702620,25034390,12151972,10288687
SRR10446417,27903306,21571950,10626159,8441145
SRR11928673,34953226,31151012,14830763,14270838
SRR11928790,52114128,39898812,17897928,17838960
SRR11928785,31203468,25952292,11824766,11771928
SRR1980045,45364674,5811750,2844805,2595282
SRR8592701,41839386,41800242,4543323,469453
SRR8886798,killed,killed,killed,killed
SRR10992330,25157544,17135918,6272422,6191633
SRR2394941,50575622,43722348,18183668,18034232
SRR1166532,39241580,4839102,2238669,1977269
SRR4423080,70506136,54061218,26510052,25811759
